Name,organizationId,appId,Link,Status,Status Time
 94.7 WLS-FM,Cumulus-Media,-947-wls-fm,https://studio.xapp.ai/Cumulus-Media/-947-wls-fm,Live,2019-08-02T13:58:38.028Z
#1 Country 99 WDEN,Cumulus-Media,1-country-99-wden,https://studio.xapp.ai/Cumulus-Media/1-country-99-wden,Live,2019-04-09T22:53:36.646Z
100.3 THE TEAM,Cumulus-Media,1003-the-team,https://studio.xapp.ai/Cumulus-Media/1003-the-team,Live,2020-08-06T17:42:47.566Z
100.5 Jox 2,Cumulus-Media,1005-jox-2,https://studio.xapp.ai/Cumulus-Media/1005-jox-2,Live,2017-09-29T19:04:11.694Z
100.5 WWKI,Cumulus-Media,1005-wwki,https://studio.xapp.ai/Cumulus-Media/1005-wwki,Live,2017-09-29T18:57:27.545Z
100.7 KHAY,Cumulus-Media,1007-khay,https://studio.xapp.ai/Cumulus-Media/1007-khay,Live,2017-09-29T18:46:44.627Z
100.7 The Zone,Cumulus-Media,1007-the-zone,https://studio.xapp.ai/Cumulus-Media/1007-the-zone,Archived,2021-05-12T19:25:15.949Z
100.7 WLEV,Cumulus-Media,1007-wlev,https://studio.xapp.ai/Cumulus-Media/1007-wlev,Live,2017-09-29T18:18:49.914Z
100FM The Pike,Cumulus-Media,100fm-the-pike,https://studio.xapp.ai/Cumulus-Media/100fm-the-pike,Live,2017-09-29T18:26:03.939Z
101 The FOX,Cumulus-Media,101-the-fox,https://studio.xapp.ai/Cumulus-Media/101-the-fox,Live: Requires Cert,2020-02-19T22:09:19.115Z
101 WKQX,Cumulus-Media,101-wkqx,https://studio.xapp.ai/Cumulus-Media/101-wkqx,Archived,2022-12-05T17:54:16.095Z
101.1 KRMD,Cumulus-Media,1011-krmd,https://studio.xapp.ai/Cumulus-Media/1011-krmd,Live,2017-09-29T18:33:20.204Z
101.5 Jack FM,Cumulus-Media,1015-jack-fm,https://studio.xapp.ai/Cumulus-Media/1015-jack-fm,Live,2020-10-27T15:32:18.281Z
101.5 WBNQ,Cumulus-Media,1015-wbnq,https://studio.xapp.ai/Cumulus-Media/1015-wbnq,Live,2017-09-29T18:59:57.890Z
101.5 WQUT,Cumulus-Media,1015-wqut,https://studio.xapp.ai/Cumulus-Media/1015-wqut,Live,2017-09-29T18:55:19.370Z
102-7 WXBM,Cumulus-Media,102-7-wxbm,https://studio.xapp.ai/Cumulus-Media/102-7-wxbm,Live,2019-08-02T13:57:16.509Z
102 The Bear,Cumulus-Media,102-the-bear,https://studio.xapp.ai/Cumulus-Media/102-the-bear,Live,2017-09-29T18:22:53.093Z
102.1 The Fox,Cumulus-Media,1021-the-fox,https://studio.xapp.ai/Cumulus-Media/1021-the-fox,Live,2018-05-29T16:50:22.855Z
102.5 Jack FM,Cumulus-Media,1025-jack-fm,https://studio.xapp.ai/Cumulus-Media/1025-jack-fm,Live,2017-09-29T18:38:43.035Z
102.5 WIOG,Cumulus-Media,1025-wiog,https://studio.xapp.ai/Cumulus-Media/1025-wiog,Live,2017-09-29T19:00:27.822Z
102.7 GNI,Cumulus-Media,1027-gni,https://studio.xapp.ai/Cumulus-Media/1027-gni,Live,2017-09-29T18:51:29.956Z
102.7 The Hit Kicker,Cumulus-Media,1027-the-hit-kicker,https://studio.xapp.ai/Cumulus-Media/1027-the-hit-kicker,Incomplete,2020-09-30T15:38:06.102Z
1027 The Vibe,Cumulus-Media,1027-the-vibe,https://studio.xapp.ai/Cumulus-Media/1027-the-vibe,Live,2017-09-29T18:25:32.236Z
