Name;organizationId;appId;Link;Status;Status Time
1213 Plumbing LLC;surefire-local;1213-plumbing-llc;https://studio.xapp.ai/surefire-local/1213-plumbing-llc;Submitted for Review;2023-03-13T21:58:10.164Z
123 Remodeling LLC;surefire-local;123-remodeling-llc-sevuq;https://studio.xapp.ai/surefire-local/123-remodeling-llc-sevuq;Ready for Install;2022-12-21T14:41:36.590Z
2J's Custom Roofs;surefire-local;2js-custom-roofs;https://studio.xapp.ai/surefire-local/2js-custom-roofs;Live;2022-12-20T04:58:50.111Z
3 Generations Improvements;surefire-local;3-generations-improvements;https://studio.xapp.ai/surefire-local/3-generations-improvements;Live;2022-12-20T04:58:55.878Z
303 Roofer;surefire-local;303-roofer;https://studio.xapp.ai/surefire-local/303-roofer;Cancelled;2023-03-01T15:22:21.765Z
3GEN Roofing;surefire-local;3gen-roofing;https://studio.xapp.ai/surefire-local/3gen-roofing;Live;2022-12-20T04:59:19.243Z
4 Winds Mechanical Inc.;surefire-local;4-winds-mechanical-inc;https://studio.xapp.ai/surefire-local/4-winds-mechanical-inc;Ready for Install;2023-02-17T18:58:43.224Z
7-Exterior Solutions, LLC;surefire-local;7-exterior-solutions-llc;https://studio.xapp.ai/surefire-local/7-exterior-solutions-llc;Ready for Install;2023-03-08T19:42:21.233Z
970 Services;surefire-local;970-services;https://studio.xapp.ai/surefire-local/970-services;Live;2022-12-20T04:51:08.518Z
A & L Foam;surefire-local;a-and-l-foam;https://studio.xapp.ai/surefire-local/a-and-l-foam;Live;2022-12-20T04:51:52.896Z
A & S Roofing;surefire-local;a-and-s-roofing;https://studio.xapp.ai/surefire-local/a-and-s-roofing;Live;2022-12-20T04:51:58.913Z
A-Better Exterior, LLC;surefire-local;a-better-exterior-llc;https://studio.xapp.ai/surefire-local/a-better-exterior-llc;Live;2022-12-20T04:52:04.679Z
A-Line Roofing, Inc;surefire-local;a-line-roofing-inc;https://studio.xapp.ai/surefire-local/a-line-roofing-inc;In Review;2023-03-08T20:16:57.405Z
A Old Time Roofing;surefire-local;a-old-time-roofing;https://studio.xapp.ai/surefire-local/a-old-time-roofing;Cancelled;2023-03-13T20:56:34.588Z
A Plus Cremation;surefire-local;a-plus-cremation;https://studio.xapp.ai/surefire-local/a-plus-cremation;Live;2022-12-20T04:52:27.223Z
A Plus Roofing & Construction LLC;surefire-local;a-plus-roofing-and-construction-llc;https://studio.xapp.ai/surefire-local/a-plus-roofing-and-construction-llc;Ready for Install;2022-12-20T04:52:42.793Z
A1 Quality Roofing Inc;surefire-local;a1-quality-roofing-inc;https://studio.xapp.ai/surefire-local/a1-quality-roofing-inc;Live;2022-11-30T16:10:14.676Z
A6 Roofing LLC;surefire-local;a6-roofing-llc-alamw;https://studio.xapp.ai/surefire-local/a6-roofing-llc-alamw;Live;2022-12-20T05:03:42.057Z
AAA Roofing Co.;surefire-local;aaa-roofing-co;https://studio.xapp.ai/surefire-local/aaa-roofing-co;Live;2022-11-30T16:10:21.883Z
Aaero Heating & Sheet Metal​ ;surefire-local;aaero-heating-and-sheet-metal;https://studio.xapp.ai/surefire-local/aaero-heating-and-sheet-metal;Cancelled;2023-03-13T21:00:49.274Z
